PMN (111) big, 29.1.2020, 16:30
Diameter[mm] 6.200e+00  Thickness[mm] 4.000e-01  Spacer Capacity[pF] 1.000e+00  Spacer Area[mm^2] 0.000e+00
Fixed value(s) :  Freq. [Hz]=5.778e+00  AC Volt  [Vrms]=1.000e+00
 Temp. [K]	 Eps'    	 Eps''   	 Sig' [S/cm]	  Cp' [F]	Tan(Delta)  	M Time M[s]	M Temp [K]
2.35848e+02	1.21348e+04	1.19502e+03	3.84118e-09	8.10954e-09	9.84781e-02	3.10356e+04	2.35848e+02
2.37582e+02	1.29821e+04	1.32374e+03	4.25493e-09	8.67579e-09	1.01966e-01	3.11411e+04	2.37582e+02
2.39271e+02	1.38988e+04	1.45674e+03	4.68246e-09	9.28838e-09	1.04811e-01	3.12442e+04	2.39271e+02
2.40963e+02	1.48737e+04	1.58753e+03	5.10285e-09	9.93992e-09	1.06734e-01	3.13472e+04	2.40963e+02
2.42647e+02	1.59191e+04	1.72106e+03	5.53207e-09	1.06385e-08	1.08113e-01	3.14497e+04	2.42647e+02
2.44325e+02	1.70611e+04	1.85749e+03	5.97060e-09	1.14017e-08	1.08873e-01	3.15528e+04	2.44325e+02
2.46041e+02	1.83067e+04	1.98556e+03	6.38225e-09	1.22341e-08	1.08461e-01	3.16567e+04	2.46041e+02
2.48427e+02	2.01176e+04	2.10184e+03	6.75603e-09	1.34443e-08	1.04478e-01	3.18019e+04	2.48427e+02
2.50573e+02	2.16824e+04	2.08580e+03	6.70445e-09	1.44901e-08	9.61976e-02	3.19322e+04	2.50573e+02
2.52470e+02	2.28764e+04	1.93585e+03	6.22248e-09	1.52880e-08	8.46223e-02	3.20482e+04	2.52470e+02
2.54298e+02	2.37420e+04	1.67359e+03	5.37949e-09	1.58665e-08	7.04908e-02	3.21586e+04	2.54298e+02
2.56082e+02	2.42589e+04	1.34172e+03	4.31274e-09	1.62119e-08	5.53084e-02	3.22676e+04	2.56082e+02
2.57936e+02	2.44399e+04	9.86190e+02	3.16994e-09	1.63329e-08	4.03516e-02	3.23803e+04	2.57936e+02
2.59868e+02	2.42970e+04	6.61264e+02	2.12552e-09	1.62373e-08	2.72159e-02	3.24988e+04	2.59868e+02
2.62795e+02	2.36659e+04	3.36373e+02	1.08122e-09	1.58156e-08	1.42134e-02	3.26760e+04	2.62795e+02
2.65735e+02	2.27917e+04	1.73481e+02	5.57626e-10	1.52314e-08	7.61158e-03	3.28551e+04	2.65735e+02
2.68834e+02	2.17869e+04	9.69621e+01	3.11669e-10	1.45599e-08	4.45048e-03	3.30378e+04	2.68834e+02
2.71894e+02	2.08030e+04	6.47887e+01	2.08253e-10	1.39024e-08	3.11439e-03	3.32221e+04	2.71894e+02
2.74910e+02	1.98531e+04	4.85000e+01	1.55895e-10	1.32675e-08	2.44294e-03	3.34060e+04	2.74910e+02
2.78134e+02	1.88731e+04	3.97362e+01	1.27725e-10	1.26127e-08	2.10544e-03	3.35925e+04	2.78134e+02
2.81224e+02	1.79765e+04	3.30706e+01	1.06300e-10	1.20134e-08	1.83966e-03	3.37797e+04	2.81224e+02
2.84270e+02	1.71179e+04	2.90400e+01	9.33441e-11	1.14397e-08	1.69647e-03	3.39664e+04	2.84270e+02
2.87427e+02	1.62643e+04	2.51969e+01	8.09912e-11	1.08692e-08	1.54922e-03	3.41566e+04	2.87427e+02
2.90637e+02	1.54325e+04	2.21026e+01	7.10451e-11	1.03133e-08	1.43221e-03	3.43431e+04	2.90637e+02
2.93685e+02	1.46713e+04	1.94130e+01	6.24000e-11	9.80460e-09	1.32320e-03	3.45286e+04	2.93685e+02
2.96710e+02	1.39568e+04	1.74429e+01	5.60673e-11	9.32713e-09	1.24978e-03	3.47136e+04	2.96710e+02
