PMN (111), 2.4.2019, 11:26
Diameter[mm] 6.200e+00  Thickness[mm] 4.000e-01  Spacer Capacity[pF] 0.000e+00  Spacer Area[mm^2] 0.000e+00
Fixed value(s) :  Freq. [Hz]=3.725e+02  AC Volt  [Vrms]=1.000e+00
 Temp. [K]	 Eps'    	 Sig' [S/cm]	Tan(Delta)  	 Zs'' [Ohms]	 Eps''   	  Cp' [F]	 Zs' [Ohms]	M Temp [K]
3.19420e+02	1.32632e+04	7.54976e-10	2.74660e-04	-4.82002e+04	3.64287e+00	8.86362e-09	1.32387e+01	3.19420e+02
3.18657e+02	1.34257e+04	-2.93029e-10	-1.05313e-04	-4.76167e+04	-1.41391e+00	8.97223e-09	-5.01468e+00	3.18657e+02
3.17923e+02	1.35945e+04	9.61916e-12	3.41417e-06	-4.70256e+04	4.64139e-02	9.08502e-09	1.60553e-01	3.17923e+02
3.17123e+02	1.37750e+04	6.47554e-10	2.26827e-04	-4.64093e+04	3.12454e+00	9.20565e-09	1.05269e+01	3.17123e+02
3.16295e+02	1.39512e+04	3.57065e-10	1.23494e-04	-4.58232e+04	1.72289e+00	9.32340e-09	5.65889e+00	3.16295e+02
3.15528e+02	1.41292e+04	5.05208e-10	1.72530e-04	-4.52460e+04	2.43770e+00	9.44234e-09	7.80627e+00	3.15528e+02
3.14783e+02	1.43089e+04	5.71201e-10	1.92616e-04	-4.46776e+04	2.75613e+00	9.56247e-09	8.60563e+00	3.14783e+02
3.13975e+02	1.45070e+04	7.59621e-11	2.52656e-05	-4.40676e+04	3.66529e-01	9.69483e-09	1.11340e+00	3.13975e+02
3.13174e+02	1.47033e+04	1.35292e-09	4.43984e-04	-4.34792e+04	6.52805e+00	9.82603e-09	1.93041e+01	3.13174e+02
3.12139e+02	1.49470e+04	8.19778e-10	2.64638e-04	-4.27703e+04	3.95555e+00	9.98889e-09	1.13187e+01	3.12139e+02
3.11366e+02	1.51307e+04	5.38568e-10	1.71748e-04	-4.22510e+04	2.59867e+00	1.01117e-08	7.25652e+00	3.11366e+02
3.10543e+02	1.53285e+04	4.01532e-10	1.26395e-04	-4.17060e+04	1.93745e+00	1.02438e-08	5.27144e+00	3.10543e+02
3.09728e+02	1.55087e+04	1.11779e-09	3.47773e-04	-4.12212e+04	5.39352e+00	1.03643e-08	1.43356e+01	3.09728e+02
3.08893e+02	1.57319e+04	7.55143e-10	2.31610e-04	-4.06364e+04	3.64368e+00	1.05134e-08	9.41183e+00	3.08893e+02
3.08121e+02	1.59128e+04	1.01222e-09	3.06928e-04	-4.01745e+04	4.88409e+00	1.06343e-08	1.23307e+01	3.08121e+02
3.07296e+02	1.61179e+04	1.50281e-09	4.49890e-04	-3.96632e+04	7.25131e+00	1.07714e-08	1.78441e+01	3.07296e+02
3.06467e+02	1.63273e+04	2.01592e-09	5.95758e-04	-3.91546e+04	9.72712e+00	1.09113e-08	2.33266e+01	3.06467e+02
3.05638e+02	1.65479e+04	8.54664e-10	2.49208e-04	-3.86325e+04	4.12388e+00	1.10588e-08	9.62754e+00	3.05638e+02
3.04853e+02	1.67566e+04	8.96187e-10	2.58061e-04	-3.81514e+04	4.32424e+00	1.11982e-08	9.84542e+00	3.04853e+02
3.04056e+02	1.69591e+04	1.65633e-09	4.71252e-04	-3.76960e+04	7.99201e+00	1.13335e-08	1.77643e+01	3.04056e+02
